Gen	np	tree	tau_4L_tuulukwa_CA_Trinity_AlpsL_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	tau_5L_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	lnL
4180	2	11	0.000363	0.000284	-10837.945
4190	2	11	0.000366	0.000332	-10844.314
4200	2	11	0.000547	0.000320	-10846.798
4210	2	11	0.000547	0.000257	-10847.342
4220	2	11	0.000506	0.000299	-10843.339
4230	2	11	0.000502	0.000174	-10845.516
4240	2	11	0.000457	0.000192	-10836.017
4250	2	11	0.000625	0.000290	-10848.146
4260	2	11	0.000694	0.000175	-10847.552
4270	2	11	0.000673	0.000158	-10849.393
4280	2	11	0.000509	0.000142	-10844.225
4290	2	11	0.000629	0.000176	-10849.354
4300	2	11	0.000846	0.000076	-10850.095
4310	2	11	0.000479	0.000078	-10844.918
4320	2	11	0.000489	0.000140	-10845.387
4330	2	11	0.000523	0.000113	-10850.602
4340	2	11	0.000723	0.000136	-10835.490
4350	2	11	0.000691	0.000191	-10843.601
4360	2	11	0.000662	0.000106	-10849.869
4370	2	11	0.000665	0.000087	-10844.159
4380	2	11	0.000793	0.000092	-10841.139
4390	2	11	0.000605	0.000134	-10844.067
4400	2	11	0.000570	0.000205	-10842.353
4410	2	11	0.000598	0.000134	-10843.036
4420	2	11	0.000555	0.000211	-10844.720
4430	2	11	0.000535	0.000193	-10843.981
4440	2	11	0.000409	0.000175	-10851.210
4450	2	11	0.000498	0.000213	-10845.677
4460	2	11	0.000757	0.000335	-10838.457
4470	2	11	0.000689	0.000281	-10844.710
4480	2	11	0.000571	0.000184	-10853.041
4490	2	11	0.000706	0.000256	-10843.415
4500	2	11	0.000633	0.000249	-10853.858
4510	2	11	0.000720	0.000232	-10844.802
4520	2	11	0.000652	0.000173	-10846.119
4530	2	11	0.000780	0.000252	-10847.250
4540	2	11	0.000676	0.000181	-10840.123
4550	2	11	0.000978	0.000152	-10841.129
4560	2	11	0.000857	0.000170	-10843.064
4570	2	11	0.001138	0.000211	-10846.413
4580	2	11	0.000666	0.000256	-10844.065
4590	2	11	0.000970	0.000258	-10842.501
4600	2	11	0.001150	0.000358	-10845.292
4610	2	11	0.001195	0.000246	-10844.454
4620	2	11	0.000947	0.000241	-10850.662
4630	2	11	0.001117	0.000406	-10844.493
4640	2	11	0.001143	0.000250	-10843.181
4650	2	11	0.000811	0.000127	-10839.593
4660	2	11	0.000820	0.000224	-10848.725
4670	2	11	0.000932	0.000291	-10848.385
4680	2	11	0.000644	0.000351	-10842.003
4690	2	11	0.000765	0.000271	-10844.946
4700	2	11	0.000787	0.000292	-10844.355
4710	2	11	0.000995	0.000305	-10844.425
